CaneID,30-Oct,1-Nov,5-Nov,7-Nov,11-Nov,14-Nov,,18-Nov,,21-Nov,,25-Nov,,28-Nov,,2-Dec,,,,,,
1258,,,,,6,11,,16,,19,,21,,24,x,,,,,,,
1259,,,,,3,6,,19,,26,,33,,33,x,,,,,,,
1260,,,,,,3,,9,,13,,26,,28,x,,,,,,,
1261,,,,,,7,,32,,36,,40,,40,x,,,,,,,
1262,,,,1,27,33,,35,,37,,37,x,,,,,,,,,
1263,,,,,,6,,21,,37,,41,,42,x,,,,,,,
1264,,,,,1,0,,7,,12,,14,,14,x,,,,,,,
1289,,,,,,0,,9,,14,,17,,17,x,,,,,,,
1290,,,,,,0,,12,,19,,21,,21,x,,,,,,,
1291,,,,,5,8,,10,,10,x,,,,,,,,,,,
1292,,,,,,2,,13,,20,,22,x,,,,,,,,,
1293,,,,,,4,,16,,23,,24,x,,,,,,,,,
1294,,,,,,1,,14,,19,,22,x,,,,,,,,,
1295,,,,,,0,,7,,23,,40,1,40,x,,,,,,,
1296,,,,,,0,,2,,10,,32,2,32,x,,,,,,,
1297,,,,,,0,,10,,17,,27,1,27,x,,,,,,,
1298,,,,,,1,,8,,32,,40,,40,x,,,,,,,
1299,,,,,,0,,11,,17,,17,x,,,,,,,,,
1300,,,,,,4,,8,,14,,20,x,,,,,,,,,
1301,,,,,,0,,7,,13,,13,x,,,,,,,,,
1302,,,,,4,12,,29,,33,,33,x,,,,,,,,,
1303,,,,,,8,,24,,31,,36,,39,x,,,,,,,
1304,,,,,1,1,,3,,23,,48,,48,x,,,,,,,
1305,,,,,,4,,29,,40,,48,,48,x,,,,,,,
1306,,,,,,0,,5,,10,,19,,20,x,,,,,,,
1307,,,,,,0,,6,,8,,17,,17,x,,,,,,,
1308,,,,,1,10,,17,,20,,22,x,,,,,,,,,
1309,,,,,1,12,,18,,17,,24,x,,,,,,,,,
1310,,,,,,5,,12,,15,,17,x,,,,,,,,,
1311,,,,,2,5,,14,,15,x,,,,,,,,,,,
1312,,,,,,0,,6,,10,,11,,11,x,,,,,,,
1337,,,,,5,8,,13,,15,,17,,17,x,,,,,,,
1338,,,,,1,4,,33,,36,,36,x,,,,,,,,,
1339,,,,,,1,,8,,23,,29,,30,x,,,,,,,
1340,,,,,,3,,9,,10,,14,,14,1,15,x,,,,,
1341,,,,,9,26,,32,,35,x,,,,,,,,,,,
1342,,,,,,0,,6,,19,,23,,24,x,,,,,,,
1343,,,,,,2,,16,,22,,26,,28,x,,,,,,,
1344,,,,,,0,,14,,24,,33,,33,x,,,,,,,
1345,,,,,15,18,,31,,31,,31,x,,,,,,,,,
1346,,,,,,3,,9,,23,,29,,29,x,,,,,,,
1347,,,,,,2,,8,,26,,37,,35,x,,,,,,,
1348,,,,,,0,,4,,7,,12,,12,x,,,,,,,
1349,,,,,,0,,11,,12,x,,,,,,,,,,,
1350,,,,,,8,,12,,16,,17,x,,,,,,,,,
1351,,,,,,0,,1,,13,,24,,25,x,,,,,,,
1352,,,,,,11,,20,,27,,39,,40,x,,,,,,,
1353,,,,,,0,,10,,28,,35,x,,,,,,,,,
1354,,,,,,0,,5,,9,,12,,13,x,,,,,,,
1355,,,,,,1,,13,,29,,36,,34,x,,,,,,,
1356,,,,,,1,,22,,25,,28,x,,,,,,,,,
1357,,,,,,5,,15,,20,,26,x,,,,,,,,,
1358,,,,,,0,,5,,16,,24,x,,,,,,,,,
1359,,,,,,7,,19,,24,x,,,,,,,,,,,
1360,,,,,3,14,,18,,19,,21,x,,,,,,,,,
1385,,,,,3,4,,13,,20,,26,,27,x,,,,,,,
1386,,,,,,4,,20,,21,x,,,,,,,,,,,
1387,,,,,7,32,,40,,40,x,,,,,,,,,,,
1388,,,,,,3,,3,,15,,30,,33,x,,,,,,,
1389,,,,,,0,,15,,25,,42,x,,,,,,,,,
1390,,,,,,0,,10,,25,,42,,42,x,,,,,,,
1391,,,,,,0,,5,,26,,43,,40,x,,,,,,,
1392,,,,,,0,,10,,22,,34,,34,x,,,,,,,
1393,,,,,,1,,12,,25,,28,x,,,,,,,,,
1394,,,,,,8,,26,,32,,36,x,,,,,,,,,
1395,,,,,,13,,13,,22,,26,x,,,,,,,,,
1396,,,,,,1,,19,,28,,33,x,,,,,,,,,
1397,,,,,1,5,,11,,13,,13,6,15,2,16,x,,,,,
1398,,,,,2,7,,10,,12,,19,1,20,x,,,,,,,
